"File","Pattern","LineNumber","Line","Match"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\services\productService.ts","httpUrl","3","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\services\productService.ts","nextEnv","3","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\services\realtimeService.ts","httpUrl","12","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\services\realtimeService.ts","nextEnv","12","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\test\cart-integration.test.ts","fetch","98","const response = await fetch(`/api/products/${mockProduct.id}`);","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\test\checkout-integration.test.ts","fetch","64","const response = await fetch('/api/orders', {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\utils\imageOptimization.ts","httpUrl","187","`<svg width=""${width}"" height=""${height}"" xmlns=""http://www.w3.org/2000/svg"">","http://www.w3.org"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\utils\seo.ts","httpUrl","17","const baseUrl = process.env.NEXT_PUBLIC_BASE_URL || 'https://mjchauffage.com'","https://mjchauffage.com"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\utils\seo.ts","httpUrl","156","const baseUrl = process.env.NEXT_PUBLIC_BASE_URL || 'https://mjchauffage.com'","https://mjchauffage.com"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\utils\seo.ts","httpUrl","161","'@context': 'https://schema.org',","https://schema.org"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\utils\seo.ts","httpUrl","186","'@context': 'https://schema.org',","https://schema.org"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\utils\seo.ts","httpUrl","207","'@context': 'https://schema.org',","https://schema.org"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\utils\seo.ts","httpUrl","221","? 'https://schema.org/InStock'","https://schema.org"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\utils\seo.ts","httpUrl","222",": 'https://schema.org/OutOfStock',","https://schema.org"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\utils\seo.ts","httpUrl","237","'@context': 'https://schema.org',","https://schema.org"
